role,participant_id,conversation_id,catalogue,scenario,item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10,item_11,item_12,item_13,item_14,item_15,item_16,item_17,item_18,item_19,item_20,item_21,item_22,item_23,item_24,item_25,item_26,item_27,item_28,item_29,item_30,item_31,item_32,item_33,item_34,item_35,item_36,rating_vec,assistant_interpretation
Assistant,a2,11,c,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,3,2,3,2,1,3,4,1,1,5,1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 5, 3, 2, 3, 2, 1, 3, 4, 1, 1, 5, 1]","Everyday wears, slight outdoor, lightweight"
Assistant,a2,12,c,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,1,5,1,1,5,3,1,1,3,1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 3, 3, 1, 5, 1, 1, 5, 3, 1, 1, 3, 1]","warm, humid, outdoor(trail, hiking)"
Assistant,a3,13,a,1,1,5,1,1,1,1,1,2,1,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"[1, 5, 1, 1, 1, 1, 1, 2, 1, 1, 2, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",looking a jacket for farm trip and activities
Assistant,a3,14,a,2,1,5,1,1,2,1,2,2,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"[1, 5, 1, 1, 2, 1, 2, 2, 1, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",something to wear in a casual school day
Assistant,a3,15,b,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,3,1,5,1,1,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, 1, 1, 3, 1, 5, 1, 1, 1, 1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",looking for a business casual outfit
Assistant,a3,16,b,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,5,2,1,1,1,1,1,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, 1, 5, 2, 1, 1, 1, 1, 1, 3, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",looking for the outfit for an indoor party
Assistant,a3,17,c,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,4,5,1,1,1,1,1,3,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, 1, 1, 4, 5, 1, 1, 1, 1, 1, 3]",looking for winter shoes to walk in snow
Assistant,a3,18,c,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,3,1,1,5,2,1,1,1,1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 2, 1, 3, 1, 1, 5, 2, 1, 1, 1, 1]",looking for shoes for walking after the rain
Assistant,a4,19,a,1,2,5,1,2,4,2,1,2,2,4,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"[2, 5, 1, 2, 4, 2, 1, 2, 2, 4, 3, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","Need something waterproof for outside. Needs to have a good design that can be worn in a variety of places. Suitable for the fall season, rather than the winter."
Assistant,a4,20,a,2,3,3,2,2,5,3,2,2,2,2,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"[3, 3, 2, 2, 5, 3, 2, 2, 2, 2, 5, 3, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","Need some outer wear for moving around in. Needs to keep me warm. There will be a slight breeze when walking between buildings, so something wind resistant is a bonus. Needs to be comfortable and stylish. Can wear indoors. On the longer side (below the hips))"
Assistant,a4,21,b,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,5,2,1,2,5,1,1,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 3, 1, 5, 2, 1, 2, 5, 1, 1, 3, 3, 3, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","A formal, comfortable sweater for indoor office wear. Pairs well with dress shirt and tie. Long sleve, spring-style clothing. Good stretch."
Assistant,a4,22,b,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,3,2,2,1,3,1,1,3,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 3, 1, 3, 2, 2, 1, 3, 1, 1, 3, 5, 4, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",Short sleeve indoor sweater.
Assistant,a4,23,c,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,4,2,3,3,2,2,1,1,2,5,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, 2, 4, 2, 3, 3, 2, 2, 1, 1, 2, 5]","Need a warm set of shoes for indoor and outdoor wear. Will be in a dry environment (pavement, stone floor), not overly warm, but mostly very comfortable."
Assistant,a4,24,c,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,3,4,2,2,5,3,1,1,3,1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 3, 3, 3, 4, 2, 2, 5, 3, 1, 1, 3, 1]",Need a shoe built for long distance walking in dirt or grass. Preferably waterproof as it has just rained. Looking for more of a hiking shoe.
Assistant,a5,25,a,1,2,2,3,2,5,2,2,3,1,2,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"[2, 2, 3, 2, 5, 2, 2, 3, 1, 2, 4, 4, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",Windproof nice style outfit
Assistant,a5,26,a,2,3,3,2,2,4,1,1,5,1,2,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"[3, 3, 2, 2, 4, 1, 1, 5, 1, 2, 4, 4, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","styling daily coat for university student, spring-fall weathers"
Assistant,a5,27,b,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,3,1,2,2,4,1,3,4,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, 3, 1, 2, 2, 4, 1, 3, 4, 5, 3, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",business casual wear
Assistant,a5,28,b,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,2,4,5,2,2,2,2,3,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 3, 2, 4, 5, 2, 2, 2, 2, 3, 3, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",casual friend meetup coat
Assistant,a5,29,c,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,5,4,2,2,2,3,5,2,1,4,1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 3, 5, 4, 2, 2, 2, 3, 5, 2, 1, 4, 1]",Daily usage comfort shoe
Assistant,a5,30,c,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,4,2,2,1,1,5,5,1,2,3,1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, 4, 2, 2, 1, 1, 5, 5, 1, 2, 3, 1]",Shoes for hot weather and maybe muddy roads
Assistant,a6,31,a,1,1,5,4,1,4,3,3,2,3,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"[1, 5, 4, 1, 4, 3, 3, 2, 3, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",she wanted a waterproof top that was not too bulky and could fit for a fall outdoor day.
Assistant,a6,32,a,2,1,2,3,2,4,1,5,4,4,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"[1, 2, 3, 2, 4, 1, 5, 4, 4, 1, 2, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",scenario 2
Assistant,a6,33,b,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,1,5,2,2,3,3,1,1,5,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 5, 1, 5, 2, 2, 3, 3, 1, 1, 5, 2, 3, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",she was looking for a warm and comfortable top that gives a professional look.
Assistant,a6,34,b,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,1,4,3,3,3,1,3,4,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 3, 1, 1, 4, 3, 3, 3, 1, 3, 4, 1, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",she wanted a top with feminine look that has a casual style that she could wear when visiting her friend.
Assistant,a6,35,c,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,3,5,5,3,3,1,1,1,4,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, 1, 3, 5, 5, 3, 3, 1, 1, 1, 4]",she wanted a boot that is warm and can be fit for winter walks in city.
Assistant,a6,36,c,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,1,3,1,1,5,4,1,1,2,1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 4, 4, 1, 3, 1, 1, 5, 4, 1, 1, 2, 1]",she wanted a breathable and waterproof hiking shoe that has a plain color that can fit multiple styles.
Assistant,a7,37,a,1,2,5,1,1,1,2,4,2,3,4,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"[2, 5, 1, 1, 1, 2, 4, 2, 3, 4, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",waterproof jacket for early fall outdoor activities
Assistant,a7,38,a,2,1,1,2,1,1,2,3,5,2,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"[1, 1, 2, 1, 1, 2, 3, 5, 2, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",something comfortable and warm fit for early spring
Assistant,a7,39,b,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,4,1,1,5,1,1,1,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 3, 1, 4, 1, 1, 5, 1, 1, 1, 2, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",some thing formal and warm for work place
Assistant,a7,40,b,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5,1,3,1,2,1,1,1,1,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 4, 5, 1, 3, 1, 2, 1, 1, 1, 1, 1, 3, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",warm and loose top
Assistant,a7,41,c,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,1,1,1,1,1,2,1,1,5,1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 3, 3, 1, 1, 1, 1, 1, 2, 1, 1, 5, 1]",comfortable shoes for a trip to Montreal with lots of walking and indoor and outdoor activities
Assistant,a7,42,c,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,4,3,2,5,1,1,1,1,1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, 1, 4, 3, 2, 5, 1, 1, 1, 1, 1]",waterproof and breathable hiking shoes
Assistant,a8,43,a,1,1,3,1,1,4,2,1,1,2,5,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"[1, 3, 1, 1, 4, 2, 1, 1, 2, 5, 3, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","Wants waterproof, outdoor coat that is easy to clean, and can be worn in cold environments."
Assistant,a8,44,a,2,1,5,1,1,1,1,1,1,2,4,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"[1, 5, 1, 1, 1, 1, 1, 1, 2, 4, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","Wants outerwear, slim fit, light weight, casual."
Assistant,a8,45,b,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,4,1,1,1,5,1,1,1,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 3, 1, 4, 1, 1, 1, 5, 1, 1, 1, 3, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","Needs a shirt for the office, business casual, comfortable, breathable"
Assistant,a8,46,b,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,1,1,1,1,2,2,1,1,3,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 4, 1, 1, 1, 1, 2, 2, 1, 1, 3, 1, 3, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","Wanted indoor shirt, mainly concerned about comfort and being fashionable."
Assistant,a8,47,c,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,3,3,3,4,1,1,1,1,1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, 1, 3, 3, 3, 4, 1, 1, 1, 1, 1]",Wants winter shoe that is waterproof. Does not like shoes that are high up on the ankles. Does not like all black shoe designs.
Assistant,a8,48,c,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,2,1,1,1,1,5,1,1,4,1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 3, 3, 2, 1, 1, 1, 1, 5, 1, 1, 4, 1]","Office worker that commutes to work daily. Wants a breathable, casual running shoe to wear to work."
Assistant,a9,49,a,1,2,5,2,2,3,2,2,2,2,4,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"[2, 5, 2, 2, 3, 2, 2, 2, 2, 4, 2, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",Looking for outdoor cloth that is waterproof
Assistant,a9,50,a,2,3,2,3,2,5,2,3,4,3,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"[3, 2, 3, 2, 5, 2, 3, 4, 3, 1, 2, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",Outdoor wear for walking around campus during the fall
Assistant,a9,51,b,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,3,2,1,2,3,1,4,3,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 3, 1, 3, 2, 1, 2, 3, 1, 4, 3, 5, 3, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",Looking for a layering piece for work
Assistant,a9,52,b,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,4,3,2,4,2,1,5,2,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, 2, 4, 3, 2, 4, 2, 1, 5, 2, 3, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",To find functional formal clothing for indoor party
Assistant,a9,53,c,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,2,2,4,2,2,1,1,2,5,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, 2, 1, 2, 2, 4, 2, 2, 1, 1, 2, 5]",Looking for winter boots
Assistant,a9,54,c,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,2,5,4,2,2,1,1,2,2,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 2, 2, 2, 5, 4, 2, 2, 1, 1, 2, 2]",Looking for outdoor shoes that are good for a variety of senarios
Assistant,a10,55,a,1,3,3,2,1,1,5,3,2,4,3,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"[3, 3, 2, 1, 1, 5, 3, 2, 4, 3, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",Find a jacket for a farm trip
Assistant,a10,56,a,2,1,4,3,1,1,3,2,3,2,5,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"[1, 4, 3, 1, 1, 3, 2, 3, 2, 5, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","Outfit for going back to school in march, not too flashy everyday wear"
